party,AGH_WK,registered_voters,predicted_share,lo,hi
LINKE,0606,31196,9.0,8.9,9.1
Sonstige,0606,31196,6.6,6.4,6.7
FDP,0606,31196,5.7,5.6,5.8
CDU,0607,29416,33.1,32.0,33.2
GRUENE,0607,29416,17.4,17.3,17.6
SPD,0607,29416,13.8,13.5,13.9
AFD,0607,29416,9.8,9.5,10.1
LINKE,0607,29416,7.3,7.2,7.4
Sonstige,0607,29416,6.2,6.0,6.4
FDP,0607,29416,6.0,5.8,6.6
GRUENE,0701,33584,32.3,32.1,32.5
LINKE,0701,33584,17.8,17.6,18.3
CDU,0701,33584,16.8,16.3,17.5
SPD,0701,33584,12.4,12.1,12.5
Sonstige,0701,33584,8.0,7.8,8.2
AFD,0701,33584,6.8,6.6,7.1
FDP,0701,33584,3.8,3.7,4.0
GRUENE,0702,32549,34.0,33.7,34.5
LINKE,0702,32549,18.8,18.7,19.3
CDU,0702,32549,14.0,12.8,14.2
SPD,0702,32549,11.7,11.5,11.8
Sonstige,0702,32549,8.7,8.5,8.9
AFD,0702,32549,5.8,5.6,6.1
FDP,0702,32549,3.2,2.9,3.3
GRUENE,0703,33689,28.8,28.5,29.6
CDU,0703,33689,19.2,18.0,19.7
LINKE,0703,33689,14.3,14.2,14.6
SPD,0703,33689,13.4,13.1,13.5
Sonstige,0703,33689,7.9,7.7,8.1
AFD,0703,33689,7.0,6.8,7.3
FDP,0703,33689,3.9,3.7,4.0
GRUENE,0704,32261,23.6,23.3,23.7
CDU,0704,32261,22.2,21.2,22.4
LINKE,0704,32261,15.8,15.7,16.1
SPD,0704,32261,12.8,12.5,12.8
Sonstige,0704,32261,10.0,9.8,10.2
AFD,0704,32261,9.2,9.0,9.5
FDP,0704,32261,3.5,3.3,3.6
CDU,0705,32535,30.5,30.2,31.9
GRUENE,0705,32535,13.7,13.5,13.8
SPD,0705,32535,13.7,13.4,13.8
AFD,0705,32535,12.4,12.2,12.7
LINKE,0705,32535,11.4,11.3,11.6
Sonstige,0705,32535,9.7,9.4,9.9
FDP,0705,32535,4.1,4.0,4.2
CDU,0706,31519,36.8,36.3,39.9
SPD,0706,31519,13.9,13.6,14.0
AFD,0706,31519,13.2,13.0,13.5
GRUENE,0706,31519,10.0,9.7,10.2
Sonstige,0706,31519,8.1,7.9,8.3
LINKE,0706,31519,7.3,7.2,7.4
FDP,0706,31519,4.4,4.2,4.4
CDU,0707,32169,39.0,38.2,42.5
SPD,0707,32169,13.9,13.6,14.0
AFD,0707,32169,13.7,13.4,14.0
GRUENE,0707,32169,10.1,9.7,10.3
Sonstige,0707,32169,7.9,7.6,8.1
LINKE,0707,32169,7.6,7.5,7.8
FDP,0707,32169,4.6,4.5,4.7
GRUENE,0801,31347,35.5,35.1,35.8
